NMONOMER	1
NELEC	10
ENUC	9.194967
NBASIS	7
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-82.407107
ENERGIES
-21.085759
-2.067748
-1.434315
-1.229857
-1.172848
-0.262493
-0.028595

OEI
-33.425658	
-0.536148	-8.364834	
-0.120301	-0.304558	-6.987392	
-0.256737	-0.481031	0.163095	-7.661432	
0.024014	-0.005305	0.022427	-0.010247	-8.172231	
0.242778	1.250341	-0.692347	-0.846761	-0.004259	-6.755926	
0.141564	0.509473	1.441227	-0.617803	0.036087	0.445574	-6.065036	

ENV_OEI
-0.721930	
0.000758	-0.774676	
-0.003591	0.124190	-0.816406	
-0.001443	0.044364	-0.063585	-0.732026	
0.002256	-0.022241	0.001139	-0.005292	-0.714702	
-0.006198	-0.031621	0.153516	0.079093	0.002108	-0.883613	
0.004494	0.021492	-0.016587	-0.062961	0.002819	0.078663	-0.663837	

OVERLAP
1.000000	
0.236704	1.000000	
0.053978	0.474807	1.000000	
0.053978	0.474807	0.251717	1.000000	
0.000000	0.000000	0.000000	0.380885	1.000000	
0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	
0.000000	0.000000	0.393452	-0.098645	0.000000	0.000000	1.000000	

MOCOEFF
0.994228	0.026155	-0.005809	-0.006045	0.003649	0.000097	0.002511	
0.226476	-0.801992	-0.111396	-0.240045	-0.128547	-0.026034	-0.072865	
0.051191	-0.261017	-0.354809	0.615689	0.295926	0.014120	-0.445714	
0.113301	-0.590347	0.268204	0.345747	0.462715	-0.052698	0.588264	
-0.010370	0.043660	-0.013091	0.002264	-0.022076	-0.998153	-0.036418	
-0.107156	0.726982	-0.370051	-0.971514	0.903920	-0.006021	0.040107	
-0.061856	0.418947	-1.136641	0.373110	-0.319451	-0.000835	0.854083	

ERI
0 0 0 0 4.7452020
1 0 0 0 0.4048496
1 0 1 0 0.0551737
1 0 1 1 0.0112534
1 1 0 0 0.9855660
1 1 1 0 0.0112534
1 1 1 1 0.7241174
2 0 0 0 0.0914890
2 0 1 0 0.0120568
2 0 1 1 0.0047444
2 0 2 0 0.0116156
2 0 2 1 -0.0139527
2 0 2 2 -0.0029397
2 1 0 0 0.0890779
2 1 1 0 0.0035459
2 1 1 1 0.0092455
2 1 2 0 -0.0139527
2 1 2 1 0.1429717
2 1 2 2 0.0167706
2 2 0 0 0.7659044
2 2 1 0 0.0039834
2 2 1 1 0.6294199
2 2 2 0 -0.0029397
2 2 2 1 0.0167706
2 2 2 2 0.6217358
3 0 0 0 0.2015236
3 0 1 0 0.0242158
3 0 1 1 0.0160464
3 0 2 0 0.0028985
3 0 2 1 0.0060653
3 0 2 2 0.0078910
3 0 3 0 0.0290355
3 0 3 1 -0.0164620
3 0 3 2 -0.0026496
3 0 3 3 -0.0114187
3 1 0 0 0.1432589
3 1 1 0 0.0093353
3 1 1 1 0.0006113
3 1 2 0 0.0051204
3 1 2 1 -0.0025991
3 1 2 2 -0.0135674
3 1 3 0 -0.0164620
3 1 3 1 0.1164654
3 1 3 2 0.0040851
3 1 3 3 0.1102185
3 2 0 0 -0.0333292
3 2 1 0 0.0010099
3 2 1 1 -0.0177206
3 2 2 0 -0.0021473
3 2 2 1 -0.0320495
3 2 2 2 -0.0034902
3 2 3 0 -0.0026496
3 2 3 1 0.0040851
3 2 3 2 0.0495573
3 2 3 3 -0.0144185
3 3 0 0 0.9916094
3 3 1 0 0.0136634
3 3 1 1 0.6613452
3 3 2 0 0.0057795
3 3 2 1 0.0229039
3 3 2 2 0.5775266
3 3 3 0 -0.0114187
3 3 3 1 0.1102185
3 3 3 2 -0.0144185
3 3 3 3 0.7761858
4 0 0 0 -0.0182990
4 0 1 0 -0.0016363
4 0 1 1 -0.0027187
4 0 2 0 -0.0006545
4 0 2 1 -0.0002709
4 0 2 2 -0.0003522
4 0 3 0 -0.0007182
4 0 3 1 -0.0012443
4 0 3 2 -0.0000319
4 0 3 3 -0.0010946
4 0 4 0 0.0260823
4 0 4 1 -0.0315206
4 0 4 2 -0.0066419
4 0 4 3 -0.0146921
