NMONOMER	1
NELEC	22
ENUC	56.638886
NBASIS	16
HF_ENERGY	-182.150413
ENERGIES
-20.260905
-20.181116
-11.117985
-1.337226
-1.258252
-0.690260
-0.510531
-0.505269
-0.450788
-0.323359
-0.304879
0.377668
0.640864
0.836119
1.052425
1000000.608953

OEI
-36.095304	
0.000228	-36.032648	
-0.000155	0.003788	-23.924958	
-0.407947	-0.327852	-0.147518	-11.572122	
0.372181	-0.413097	-0.062103	-0.196998	-11.409715	
-0.104008	-0.186360	0.163207	0.556883	-0.406089	-10.249955	
-0.004033	-0.044644	0.014250	0.005870	0.060357	-0.015697	-10.333079	
-0.086899	0.271889	-0.047111	-0.086883	-0.395825	-0.033194	0.022751	-10.549791	
-0.219008	-0.095184	0.041194	-0.037659	0.453118	-0.376820	0.009837	-0.006077	-10.279396	
-0.001138	-0.005058	-0.002235	0.020607	-0.026757	-0.003540	0.201557	0.020539	-0.010248	-10.662029	
0.016039	-0.007938	0.033610	-0.155635	0.252797	0.077986	0.033641	0.009815	-0.019758	0.014557	-10.739732	
0.001885	0.001491	0.004498	-0.009692	-0.012424	0.008327	0.578427	0.074331	-0.039198	0.235032	0.036610	-9.935972	
0.300193	0.039376	-0.076815	0.905311	-0.690545	1.193675	-0.064795	0.003672	-1.155373	0.012962	-0.029421	0.019766	-8.495853	
0.067516	0.030979	-0.154980	0.235921	-0.011259	-0.758611	0.060170	-0.200907	0.580361	-0.006509	0.058611	-0.002060	-0.952148	-10.258634	
-0.041029	0.221910	-0.110157	0.352272	0.767150	0.035435	-0.013130	0.218784	0.099275	0.009220	-0.059690	0.004781	-0.253991	-0.174619	-10.341737	
-0.007645	-0.048922	-0.215292	0.269788	0.117774	-0.170731	-0.028165	0.098275	-0.116149	0.007257	-0.091136	-0.007864	0.256953	0.117286	0.166154	999991.631355	

OVERLAP
1.000000	
0.248362	1.000000	
0.000000	0.028557	1.000000	
0.025151	0.306362	0.236704	1.000000	
0.000002	0.039483	0.000000	0.000275	1.000000	
0.040039	0.380501	0.000275	0.021460	0.236704	1.000000	
0.011203	0.164835	0.054425	0.477094	0.000307	0.008447	1.000000	
0.000000	0.000000	-0.030741	-0.252158	0.064098	0.439249	-0.182434	1.000000	
0.000000	0.000000	-0.018029	-0.147888	-0.018243	-0.125014	-0.012590	0.000000	1.000000	
0.000000	0.000000	-0.031441	-0.257902	0.002311	0.015836	-0.074896	0.000000	0.000000	1.000000	
0.028158	0.185278	0.000000	0.000000	0.000683	0.031812	-0.354385	-0.029874	-0.115903	-0.202123	1.000000	
0.016514	0.108663	0.000000	0.000000	0.000061	0.002840	0.158516	-0.115903	0.099772	-0.118543	0.000000	1.000000	
0.028799	0.189498	0.000000	0.000000	0.000314	0.014620	0.070991	-0.202123	-0.118543	-0.038979	0.000000	0.000000	1.000000	
-0.064213	-0.318180	-0.000683	-0.031812	0.000000	0.000000	-0.011134	-0.272531	0.141306	-0.017899	-0.042474	-0.004520	-0.023265	1.000000	
0.018276	0.090556	-0.000061	-0.002840	0.000000	0.000000	0.000803	0.141306	0.183748	0.005094	-0.004520	0.007747	-0.002077	0.000000	1.000000	
-0.002315	-0.011471	-0.000314	-0.014620	0.000000	0.000000	-0.002907	-0.017899	0.005094	0.223319	-0.023265	-0.002077	-0.002542	0.000000	0.000000	1.000000	

MOCOEFF
-0.000351	0.004231	-0.994006	-0.027334	0.003333	-0.000188	0.006010	-0.002569	-0.002992	-0.004261	0.000477	-0.003001	-0.003381	0.000227	0.000307	0.000432	
0.000348	0.002707	-0.003267	-0.000477	-0.994157	-0.027166	0.000116	0.009767	-0.007757	-0.004931	-0.000431	0.000161	0.000029	0.006058	-0.001761	0.000151	
-0.997093	-0.012425	-0.000186	0.004354	0.000557	0.005541	0.001491	-0.010632	0.018754	0.016369	0.002059	0.000443	0.001213	-0.001097	0.000101	-0.000275	
-0.112899	0.219789	-0.171659	0.606373	-0.137496	0.468209	0.089580	0.072864	-0.118265	-0.102006	0.016201	0.066973	0.083610	-0.120057	0.027463	-0.007708	
-0.047833	0.110062	0.155040	-0.558146	-0.174863	0.607865	-0.104417	0.198095	0.000342	0.073724	0.034109	-0.058952	-0.056343	-0.119227	0.049729	0.019177	
0.122219	-0.411974	-0.031178	0.140414	-0.074110	0.336728	0.361253	0.120342	0.127988	0.191465	-0.501123	-0.022319	-0.190723	0.178800	0.038484	0.117306	
0.011574	-0.036677	-0.002338	0.011083	-0.016823	0.085869	-0.021918	0.069516	0.372066	-0.339225	0.155110	0.449949	-0.381106	0.172016	0.251390	-0.268492	
-0.045004	0.129778	-0.030022	0.158611	0.100724	-0.531434	0.040967	0.412170	0.019143	0.073091	-0.086116	-0.155518	-0.320615	-0.542791	0.296325	0.048356	
0.044501	-0.103986	-0.093819	0.482152	-0.031825	0.168259	-0.348483	-0.065732	0.101110	0.126793	0.315427	-0.489783	-0.411294	0.297544	0.038177	0.196448	
-0.000754	0.012231	0.000204	-0.002207	-0.002501	0.010193	0.005418	0.054252	0.199652	-0.157853	-0.166354	-0.566904	0.423098	0.138119	0.378155	-0.490722	
0.016918	-0.137744	-0.000186	0.003056	0.001496	0.005231	-0.020819	0.025027	-0.068998	-0.125926	0.096583	0.166777	0.350704	0.127176	0.659954	0.654214	
0.002404	-0.012855	0.000585	-0.004209	0.000282	-0.000796	0.010176	0.204854	0.625494	-0.566914	-0.070245	-0.253941	0.226864	-0.170842	-0.508793	0.455509	
-0.076324	0.426658	0.130125	-0.870797	0.024187	-0.151611	1.049217	-0.106937	-0.209202	-0.271549	0.440305	-0.416096	-0.351725	0.217233	0.048326	0.130118	
-0.139022	0.798643	0.053765	-0.353367	0.019635	-0.112933	-0.518962	-0.431976	-0.382719	-0.598031	-0.868825	-0.126122	-0.436042	0.169696	0.115299	0.195616	
-0.114001	0.811207	-0.018511	0.145459	0.121197	-0.939684	-0.064663	1.138917	-0.216483	0.154687	-0.085008	0.164805	0.160311	0.915462	-0.279836	0.012615	
